Gene,Inheritance
ACTN1,"AD (Bleeding disorder, platelet-type, 15); AD (Baraitser-Winter syndrome 1); Becker nevus, syndromic or isolated, somatic mosaic; Congenital smooth muscle hamartoma with or without hemihypertrophy, somatic mosaic; AD (Dystonia-deafness syndrome 1); AD (Thrombocytopenia 8, with dysmorphic features and developmental delay); AD (Cardiomyopathy, dilated, 1C, with or without LVNC); AD (Cardiomyopathy, hypertrophic, 24); AD (Left ventricular noncompaction 3); AD (Myopathy, myofibrillar, 4); AD (Cardiomyopathy, dilated, 1AA, with or without LVNC); AD (Cardiomyopathy, hypertrophic, 23, with or without LVNC); AD (Congenital myopathy 8); AD (Myopathy, distal, 6, adult onset); AR ([Alpha-actinin-3 deficiency]); AR ([Sprinting performance]); AD (?Myopathy, scapulohumeroperoneal); AD (Congenital myopathy 2A, typical, autosomal dominant); AR (Congenital myopathy 2B, severe infantile, autosomal recessive); AD (Congenital myopathy 2C, severe infantile, autosomal dominant); AR (?Congenital myopathy 9A with respiratory insufficiency and bone fractures); AR (Congenital myopathy 9B, proximal, with minicore lesions)",
ACTN2,"AD (Cardiomyopathy, dilated, 1AA, with or without LVNC); AD (Cardiomyopathy, hypertrophic, 23, with or without LVNC); AD (Congenital myopathy 8); AD (Myopathy, distal, 6, adult onset); AR ([Alpha-actinin-3 deficiency]); AR ([Sprinting performance]); AD (Cardiomyopathy, dilated, 1C, with or without LVNC); AD (Cardiomyopathy, hypertrophic, 24); AD (Left ventricular noncompaction 3); AD (Myopathy, myofibrillar, 4); AD (Cardiomyopathy, dilated, 1KK); AD (Cardiomyopathy, familial restrictive, 4); AD (Cardiomyopathy, hypertrophic, 22); AR (Congenital myopathy 24)",
ACTN3,"AR ([Alpha-actinin-3 deficiency]); AR ([Sprinting performance]); AD (Cardiomyopathy, dilated, 1AA, with or without LVNC); AD (Cardiomyopathy, hypertrophic, 23, with or without LVNC); AD (Congenital myopathy 8); AD (Myopathy, distal, 6, adult onset); AR (McArdle disease); AR (Pyruvate carboxylase deficiency)",
ACTN4,"AD (Glomerulosclerosis, focal segmental, 1); AR (?Nephrotic syndrome, type 19)",
ACTR1A,"AR ({Amyotrophic lateral sclerosis, susceptibility to}); AD (Neuronopathy, distal hereditary motor, autosomal dominant 14); AD (Perry syndrome)",
ACTR2,"AD (Developmental delay, language impairment, and ocular abnormalities); AR (Immunodeficiency 113 with autoimmunity and autoinflammation); AR (Cortical dysplasia, complex, with other brain malformations 9); AD (Gastrointestinal stromal tumor, familial); Germ cell tumors, somatic; Leukemia, acute myeloid, somatic; AD (Mastocytosis, cutaneous); Mastocytosis, systemic, somatic; AD (Piebaldism)",
ACTR3,"AD (Amyloidosis, Finnish type); AR (Nephrotic syndrome, type 21); AR (Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia); AD (Developmental delay, language impairment, and ocular abnormalities); AR (Immunodeficiency 113 with autoimmunity and autoinflammation)",
ACTRT1,"Bazex-Dupre-Christol syndrome; {Spermatogenic failure, X-linked, 8, susceptibility to}",
ACTRT2,"{Spermatogenic failure, X-linked, 8, susceptibility to}",
ACVR1,"AD (Fibrodysplasia ossificans progressiva); {Atrioventricular septal defect, susceptibility to, 1}; AD (Brachydactyly, type B2); AD (Multiple synostoses syndrome 1); AD (Stapes ankylosis with broad thumbs and toes); AD (Symphalangism, proximal, 1A); AD (Tarsal-carpal coalition syndrome); Polyposis syndrome, hereditary mixed, 2; AD (Polyposis, juvenile intestinal); AR (Acromesomelic dysplasia 3); AD (Brachydactyly, type A1, D); AD (Brachydactyly, type A2)",
ACVR1B,"Pancreatic cancer, somatic; AD ({Breast cancer, male, susceptibility to}); AD ({Breast-ovarian cancer, familial, 2}); AR ({Glioblastoma 3}); AR ({Medulloblastoma}); {Pancreatic cancer 2}; AD ({Prostate cancer}); AR (Fanconi anemia, complementation group D1); AD (Wilms tumor); AD (Telangiectasia, hereditary hemorrhagic, type 2)",
ACVR1C,"Klippel-Feil syndrome 3, autosomal dominant; AD (Microphthalmia, isolated 7); AD (Microphthalmia, isolated, with coloboma 6)",
ACVR2A,"AD (Holoprosencephaly 3); AD (Microphthalmia/coloboma 5); AD (Single median maxillary central incisor); AD (Telangiectasia, hereditary hemorrhagic, type 5)",
ACVR2B,"Heterotaxy, visceral, 4, autosomal; AD (Anterior segment dysgenesis 4); AD (Axenfeld-Rieger syndrome, type 1); AD (Ring dermoid of cornea); AR (Craniometaphyseal dysplasia, autosomal recessive); AD (Erythrokeratodermia variabilis et progressiva 3); AD (Oculodentodigital dysplasia); AR (Oculodentodigital dysplasia, autosomal recessive); AD (Palmoplantar keratoderma with congenital alopecia); AD (Syndactyly, type III)",
ACVRL1,"AD (Telangiectasia, hereditary hemorrhagic, type 2); AD (Telangiectasia, hereditary hemorrhagic, type 1); AD (Fibrodysplasia ossificans progressiva); AD (Telangiectasia, hereditary hemorrhagic, type 5); AD (Pulmonary hypertension, familial primary, 1, with or without HHT); AD (Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated); AD (Pulmonary venoocclusive disease 1)",
ACY1,"AR (Aminoacylase 1 deficiency); AR (GM1-gangliosidosis, type I); AR (GM1-gangliosidosis, type II); AR (GM1-gangliosidosis, type III); AR (Mucopolysaccharidosis type IVB (Morquio)); AR (Atransferrinemia); AR (Canavan disease)",
ADA,"AR (Adenosine deaminase deficiency, partial); AR (Severe combined immunodeficiency due to ADA deficiency); AD ({Adrenocortical carcinoma, pediatric}); AD ({Basal cell carcinoma 7}); AD ({Choroid plexus papilloma}); AD ({Colorectal cancer}); AD ({Glioma susceptibility 1}); {Osteosarcoma}; AD (Bone marrow failure syndrome 5); Breast cancer, somatic; Hepatocellular carcinoma, somatic; AD (Li-Fraumeni syndrome); Nasopharyngeal carcinoma, somatic; Pancreatic cancer, somatic; AD (Adams-Oliver syndrome 5); AD (Aortic valve disease 1); AD (Holoprosencephaly 3); AD (Microphthalmia/coloboma 5); AD (Single median maxillary central incisor); Focal cortical dysplasia, type II, somatic; AD (Smith-Kingsmore syndrome); AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants)",
ADA2,"AR (Sneddon syndrome); AR (Vasculitis, autoinflammation, immunodeficiency, and hematologic defects syndrome); AR (Adenosine deaminase deficiency, partial); AR (Severe combined immunodeficiency due to ADA deficiency); AD ({Adrenocortical carcinoma, pediatric}); AD ({Basal cell carcinoma 7}); AD ({Choroid plexus papilloma}); AD ({Colorectal cancer}); AD ({Glioma susceptibility 1}); {Osteosarcoma}; AD (Bone marrow failure syndrome 5); Breast cancer, somatic; Hepatocellular carcinoma, somatic; AD (Li-Fraumeni syndrome); Nasopharyngeal carcinoma, somatic; Pancreatic cancer, somatic",
ADAD1,"{Autoimmune disease, susceptibility to, 5}; {Celiac disease, susceptibility to, 6}",
ADAM10,"{Alzheimer disease 18, susceptibility to}; AD (Reticulate acropigmentation of Kitamura); AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants); AR (?Inflammatory skin and bowel disease, neonatal, 1); AD ({Immunodeficiency 107, susceptibility to invasive staphylococcus aureus infection}); AD (Autoinflammation, panniculitis, and dermatosis syndrome, autosomal dominant); AR (Autoinflammation, panniculitis, and dermatosis syndrome, autosomal recessive)",
ADAM12,"Becker muscular dystrophy; Cardiomyopathy, dilated, 3B; Duchenne muscular dystrophy",
ADAM15,"AR (Frank-ter Haar syndrome); AR (Cone-rod dystrophy 9); AD (Tylosis with esophageal cancer); AR (?Fanconi anemia, complementation group V)",
ADAM17,"AR (?Inflammatory skin and bowel disease, neonatal, 1); AD (Tylosis with esophageal cancer); {Alzheimer disease 18, susceptibility to}; AD (Reticulate acropigmentation of Kitamura); AR (?Tumoral calcinosis, hyperphosphatemic, familial, 3); AR (Cone-rod dystrophy 9); AD (Adams-Oliver syndrome 5); AD (Aortic valve disease 1); AR (?Immunodeficiency 127); AD ({Asthma, susceptibility to}); {Dementia, vascular, susceptibility to}; {Malaria, cerebral, susceptibility to}; AD ({Migraine without aura, susceptibility to}); {Septic shock, susceptibility to}",
ADAM19,"AR (Cone-rod dystrophy 9); AR (?Inflammatory skin and bowel disease, neonatal, 1); AR (?Fanconi anemia, complementation group V)",
ADAM22,"AR (Developmental and epileptic encephalopathy 61); AD (Epilepsy, familial temporal lobe, 1); AR (Intellectual developmental disorder with muscle tone abnormalities and distal skeletal defects); AR (Arthrogryposis multiplex congenita 1, neurogenic, with myelin defect)",
ADAM23,"AR (Developmental and epileptic encephalopathy 61); AD (Epilepsy, familial temporal lobe, 1); AR (Intellectual developmental disorder with muscle tone abnormalities and distal skeletal defects)",
ADAM9,"AR (Cone-rod dystrophy 9); AR (Epidermolysis bullosa, junctional 4, intermediate); AD (Epithelial recurrent erosion dystrophy); AR (?Inflammatory skin and bowel disease, neonatal, 1); AR (?Fanconi anemia, complementation group V); {Alzheimer disease 18, susceptibility to}; AD (Reticulate acropigmentation of Kitamura)",
ADAMTS1,"AR (?Progesterone resistance); AR (Arthrogryposis, distal, type 12)",
ADAMTS10,"AR (Weill-Marchesani syndrome 1, recessive); AR (Geleophysic dysplasia 1); AR (Weill-Marchesani 4 syndrome, recessive)",
ADAMTS12,"AD (Brachydactyly, type E2)",
ADAMTS13,"AR (Thrombotic thrombocytopenic purpura, hereditary); AD (von Willebrand disease, type 1); AR (von Willebrand disease, type 3); AR (von Willebrand disease, types 2A, 2B, 2M, and 2N)",
ADAMTS15,"AR (Arthrogryposis, distal, type 12)",
ADAMTS16,"{Hypertension, essential, susceptibility to, 6}; AR (Microcornea, myopic chorioretinal atrophy, and telecanthus); AD (Macular dystrophy, retinal, 3)",
ADAMTS17,"AR (Weill-Marchesani 4 syndrome, recessive); AR (Ichthyosis, congenital, autosomal recessive 9); AR (Cardiac valvular dysplasia 2); AR (Weill-Marchesani syndrome 1, recessive)",
ADAMTS18,"AR (Microcornea, myopic chorioretinal atrophy, and telecanthus); [Bone mineral density QTL 13]; [Bone mineral density QTL 14]",
ADAMTS19,"AR (Cardiac valvular dysplasia 2); AR (Weill-Marchesani 4 syndrome, recessive)",
ADAMTS2,"AR (Ehlers-Danlos syndrome, dermatosparaxis type); AD ({Bone mineral density variation QTL, osteoporosis}); AD (Caffey disease); AD (Combined osteogenesis imperfecta and Ehlers-Danlos syndrome 1); AD (Ehlers-Danlos syndrome, arthrochalasia type, 1); AD (Osteogenesis imperfecta, type I); AD (Osteogenesis imperfecta, type II); AD (Osteogenesis imperfecta, type III); AD (Osteogenesis imperfecta, type IV); AR (Geleophysic dysplasia 1); AR (Thrombotic thrombocytopenic purpura, hereditary)",
ADAMTS3,AR (Hennekam lymphangiectasia-lymphedema syndrome 3); AD (Chopra-Amiel-Gordon syndrome); {Stature QTL 1},
ADAMTS4,"AD (?Spondyloepiphyseal dysplasia, Kimberley type); AD (Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans); AR (Spondyloepimetaphyseal dysplasia, aggrecan type); AR (?Deafness, autosomal recessive 110); AD (Deafness, autosomal dominant 9); AD (Erythrocytosis, familial, 4); AR (Hennekam lymphangiectasia-lymphedema syndrome 3)",
ADAMTS5,"AD (?Spondyloepiphyseal dysplasia, Kimberley type); AD (Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans); AR (Spondyloepimetaphyseal dysplasia, aggrecan type); AR (Acrocapitofemoral dysplasia); AD (Brachydactyly, type A1); AR (?Deafness, autosomal recessive 110); AD (Deafness, autosomal dominant 9); AR (Ehlers-Danlos syndrome, dermatosparaxis type); AR (Hennekam lymphangiectasia-lymphedema syndrome 3)",
ADAMTS6,"AR (Ehlers-Danlos syndrome, dermatosparaxis type); AR (Hennekam lymphangiectasia-lymphedema syndrome 3); AR (Weill-Marchesani syndrome 1, recessive)",
ADAMTS7,"AD (Carpal tunnel syndrome 2); AD (Epiphyseal dysplasia, multiple, 1); AD (Pseudoachondroplasia); AD (Brachydactyly, type E2); AR (Ehlers-Danlos syndrome, dermatosparaxis type)",
ADAMTS8,"AR (Arthrogryposis, distal, type 12)",
ADAMTSL2,"AR (Geleophysic dysplasia 1); {Macular degeneration, age-related, 7}; {Macular degeneration, age-related, neovascular type}; AR (CARASIL syndrome); AD (Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2)",
ADAMTSL3,AD (Chromosome 15q25 deletion syndrome),
ADAMTSL4,"AR (Ectopia lentis et pupillae); AR (Ectopia lentis, isolated, autosomal recessive); AD (Acromicric dysplasia); AD (Ectopia lentis, familial); AD (Geleophysic dysplasia 2); AD (Marfan lipodystrophy syndrome); AD (Marfan syndrome); AD (MASS syndrome); AD (Stiff skin syndrome); AD (Weill-Marchesani syndrome 2, dominant)",
ADAP2,"AD (Chromosome 17q11.2 deletion syndrome, 1.4Mb)",
ADAR,"AR (Aicardi-Goutieres syndrome 6); AD (Dyschromatosis symmetrica hereditaria); AR (Neurodevelopmental disorder with hypotonia, microcephaly, and seizures); AD (Intellectual developmental disorder, autosomal dominant 75); AD (Achondroplasia); Bladder cancer, somatic; AR (CATSHL syndrome); Cervical cancer, somatic; Colorectal cancer, somatic; AD (Crouzon syndrome with acanthosis nigricans); AD (Hypochondroplasia); AD (LADD syndrome 2); AD (Muenke syndrome); Nevus, epidermal, somatic; AD (SADDAN); Spermatocytic seminoma, somatic; AD (Thanatophoric dysplasia, type I); AD (Thanatophoric dysplasia, type II); AD (Immunodeficiency 100 with pulmonary alveolar proteinosis and hypogammaglobulinemia)",
ADARB1,"AR (Neurodevelopmental disorder with hypotonia, microcephaly, and seizures)",
ADARB2,"AR (Neurodevelopmental disorder with hypotonia, microcephaly, and seizures)",
ADAT1,"AD (?Leukoencephalopathy, hereditary diffuse, with spheroids 2); AD (Charcot-Marie-Tooth disease, axonal, type 2N); AR (Developmental and epileptic encephalopathy 29); AR (Trichothiodystrophy 8, nonphotosensitive); AR (?Charcot-Marie-Tooth disease, recessive intermediate, B); AR (Deafness, autosomal recessive 89); AR (Deafness, congenital, and adult-onset progressive leukoencephalopathy); AR (Leukoencephalopathy, progressive, infantile-onset, with or without deafness); AR (Neurodevelopmental disorder with hypotonia, microcephaly, and seizures)",
ADAT2,"AR (Neurodevelopmental disorder with brain abnormalities, poor growth, and dysmorphic facies)",
ADAT3,"AR (Neurodevelopmental disorder with brain abnormalities, poor growth, and dysmorphic facies); AD (Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster)",
ADCK5,AD (46XX sex reversal 2); AD (46XY sex reversal 10); AD (Acampomelic campomelic dysplasia); AD (Campomelic dysplasia); AD (Campomelic dysplasia with autosomal sex reversal),
ADCY1,"AR (?Deafness, autosomal recessive 44)",
ADCY10,"AD ({Hypercalciuria, absorptive, susceptibility to})",
ADCY3,"AR ({Obesity, susceptibility to, BMIQ19}); AR ({Obesity, resistance to (BMIQ20)}); AR (Obesity (BMIQ20)); AR (Joubert syndrome 21); AR (?Meckel syndrome 9); AR (Joubert syndrome 27); [Body mass index QTL1]",
ADCY5,"AD (Dyskinesia with orofacial involvement, autosomal dominant); AR (Dyskinesia with orofacial involvement, autosomal recessive); AR (Neurodevelopmental disorder with hyperkinetic movements and dyskinesia); [Birth weight QTL 3]; [Fasting plasma glucose level QTL 6]; [Birth weight QTL 1]; [Fasting plasma glucose level QTL 2]; AD (Dystonia 25)",
ADCY6,"AR (Lethal congenital contracture syndrome 8); AD (Deafness, autosomal dominant 50); AR (Hypomyelinating neuropathy, congenital, 3); AR (Lethal congenital contracture syndrome 7); AR (Arthrogryposis multiplex congenita 3, myogenic type); AD (Emery-Dreifuss muscular dystrophy 4, autosomal dominant); AR (Spinocerebellar ataxia, autosomal recessive 8)",
ADCY8,"AR ({Sudden infant death syndrome, susceptibility to}); AD (Atrial fibrillation, familial, 10); AD (Brugada syndrome 1); AD (Cardiomyopathy, dilated, 1E); AD (Heart block, nonprogressive); AD (Heart block, progressive, type IA); AD (Long QT syndrome 3); AR (Sick sinus syndrome 1); Ventricular fibrillation, familial, 1; AR (?Deafness, autosomal recessive 44); AR (?Bleeding disorder, platelet-type, 19); Pituitary tumor, invasive; AD (Developmental and epileptic encephalopathy 27); AD (Intellectual developmental disorder, autosomal dominant 6, with or without seizures); AD (Epilepsy, focal, with speech disorder and with or without impaired intellectual development); AD (Intellectual developmental disorder, autosomal dominant 59)",
ADCY9,"AD ({Melanoma, cutaneous malignant, 1})",
ADD1,"{Hypertension, essential, salt-sensitive}; AR (Cerebral palsy, spastic quadriplegic, 3); AD (Huntington disease); AR (Lopes-Maciel-Rodan syndrome)",
ADD2,"{Hypertension, essential, salt-sensitive}; AR (Cerebral palsy, spastic quadriplegic, 3)",
ADD3,"AR (Cerebral palsy, spastic quadriplegic, 3); {Hypertension, essential, salt-sensitive}",
ADGRE1,"AR ({Hemolytic uremic syndrome, atypical, susceptibility to, 1}); AD ({Macular degeneration, age-related, 4}); AD (Basal laminar drusen); AR (Complement factor H deficiency)",
